chapter,original label,source file/page,scientific claim,known inputs,known hyperparameters,historical output path,original-code status,planned replacement experiment,planned generator command,verification status
2,tab:group_stat,"chap2.tex:318; thesis p. 22","Learned groups have mean size near nine and overlap more than the fixed 3x3 topology under the chosen threshold.","Thresholded historical group matrices","Membership threshold 0.1 times row maximum; input SNR 0/3/6 dB; one model per level",legacy/dissertation-2016/source/chap2.tex,missing,"Report multi-seed weighted statistics and threshold sensitivity",make table ID=ch3-group-statistics,historical values present in TeX
2,fig:minwire,"chap2.tex:364; thesis p. 23","A two-dimensional minimum-wiring layout gives a qualitative topographic arrangement of the learned atoms.","Historical learned dictionary and group matrix","d=2; mu1=0.05; mu2=0.1 divided by |U|^(2/d); BFGS",legacy/dissertation-2016/source/images/minwire2d.png,missing,"Repeat embedding from many initializations and compare with null graphs",make figure ID=ch3-wiring-embedding,historical asset present
2,fig:minwire_vs_d,"chap2.tex:372; thesis p. 24","The stored wiring objective begins to plateau near embedding dimension two.","Historical learned group graph","Unreported number of starts and uncertainty",legacy/dissertation-2016/source/images/minwire_vs_d.pdf,missing,"Measure dimensionality across repeated starts and graph-null controls",make figure ID=ch3-wiring-dimension,historical asset present
3,fig:kz/weights,"chap3.tex:161; thesis p. 33","Learned symmetric weights stabilize states while antisymmetric weights translate them; place-grid weights show cross-code periodic structure.","One place-only and one 32:32 place-grid network","N=64; grid frequency 7; historical training configuration",legacy/dissertation-2016/source/images/kz/weights.pdf,missing,"Regenerate multi-seed budget-matched weight panels",make figure ID=ch4-weights,historical asset present
3,fig:kz/write_eg,"chap3.tex:171; thesis p. 34","Both historical networks converge from a random state toward the externally written code.","Place-only and 32:32 place-grid networks","x=0.25; 15 steps; tau=5; grid frequency 7",legacy/dissertation-2016/source/images/kz/write_example.pdf,missing,"Generate write traces with decoded location and convergence metrics",make figure ID=ch4-operations,historical asset present
3,fig:kz/hold_eg,"chap3.tex:179; thesis p. 35","Both historical networks approximately maintain the encoded activity during the displayed hold interval.","States produced by the write operation","15 hold steps; tau=5; grid frequency 7",legacy/dissertation-2016/source/images/kz/hold_example.pdf,missing,"Generate hold traces and quantify drift over seeds",make figure ID=ch4-operations,historical asset present
3,fig:kz/move_eg,"chap3.tex:187; thesis p. 36","Velocity-modulated antisymmetric weights translate the activity pattern in both codes.","Place-only and 32:32 place-grid networks","75 steps; tau=5; velocity 0.005; grid frequency 7",legacy/dissertation-2016/source/images/kz/move_example.pdf,missing,"Generate path-integration traces with target and decoded trajectories",make figure ID=ch4-operations,historical asset present
3,fig:kz/x2err_vs_nsteps,"chap3.tex:200; thesis p. 37","In the stored historical sweep, selected place-grid configurations have lower squared readout error than the place-only configuration under random unit and weight noise.","One network per displayed place:grid ratio and grid frequency","N=64; training noise standard deviations 0.1; selected best 32:32 ratio and frequency 7",legacy/dissertation-2016/source/images/kz/x2err_vs_nsteps.pdf,missing,"Budget-match codes and report multi-seed error and drift confidence intervals",make figure ID=ch4-random-noise,historical asset present
3,fig:kz/x2err_vs_sigma,"chap3.tex:213; thesis p. 38","The selected 32:32 frequency-7 place-grid network has lower historical absolute readout error for small fixed perturbations, approximately below sigma 0.1.","Historical trained networks with a fixed random perturbation added at test time","Training noise standard deviations 0.1; test noise disabled; perturbation uniform in (-sigma,sigma)",legacy/dissertation-2016/source/images/kz/x2err_vs_sigma.pdf,missing,"Use multi-seed perturbations and separate symmetric from antisymmetric perturbations",make figure ID=ch4-fixed-perturbation,historical asset present
3,fig:kz/step_eg,"chap3.tex:226; thesis p. 39","Noiseless long-run input-output maps are staircase-like; the selected place-grid example displays finer steps than the place-only example.","Historical trained place-only and 32:32 frequency-7 place-grid networks","1000 test steps; unit and weight noise disabled",legacy/dissertation-2016/source/images/kz/step_example.pdf,missing,"Directly measure fixed-point count basin radii and decoder maps across seeds",make figure ID=ch4-basin-structure,historical asset present
3,attractor training configuration,"appendix.tex:139-157; thesis p. 47","All stored Chapter 3 plots were described as using a shared 64-neuron training procedure.","Synthetic 1D locations and velocities","N=64; sigma_u=sigma_w=0.1; alpha=100; tau=5; 50 unrolled steps; 40000 iterations; batch 256",legacy/dissertation-2016/source/appendix.tex,missing,"Encode every run configuration and seed in machine-readable manifests",make reproduce-ch3,historical configuration present in TeX
